A01	クレジット決済登録通常用
A02	クレジット決済登録３Ｄセキュア結果用
A03	クレジットカードのお預かり情報照会
A04	クレジットカードのお預かり情報変更
A05	クレジットカードのお預かり情報削除
A06	クレジット決済取消
A07	クレジット金額変更
B01	コンビニ（オンライン払い）セブン-イレブン
B02	コンビニ（オンライン払い）ファミリーマート
B03	コンビニ（オンライン払い）ローソン
B04	コンビニ（オンライン払い）サークルＫサンクス
B05	コンビニ（オンライン払い）ミニストップ
B06	コンビニ（オンライン払い）セイコーマート
C01	電子マネー決済登録(楽天Edy(Cyber))
C02	電子マネー決済登録(楽天Edy(Mobile))
C03	電子マネー決済登録(Suica(インターネットサービス))
C04	電子マネー決済登録(Suica(Mobile))
C05	電子マネー決済登録(Waon(PC))
C06	電子マネー決済登録(Waon(MB))
D01	ネットバンク決済登録（楽天銀行）
E01	出荷情報登録
E02	出荷情報取消
E03	出荷予定日変更
E04	取引情報照会
F01	接続元加盟店ECサーバ認証
F02	出荷情報登録（切売）
F03	出荷情報取消（切売）
F04	取引情報照会（切売）
KAAAU0010APIAction	後払い与信依頼
KAARS0010APIAction	後払い与信結果取得
KAASL0010APIAction	後払い出荷情報登録
KAAST0010APIAction	後払い取引状況取得
KAACL0010APIAction	後払い与信取消依頼
KAASD0010APIAction	後払い請求書印字データ取得
KAARA0010APIAction	後払いリアルタイムオーソリ
KAAKK0010APIAction	後払い請求金額変更（減額）
KAARR0010APIAction	後払い請求書再発行
