C01	被仕向会社コードエラー
C03	最大電文長エラー
C12	被仕向センタビジー
C13	被仕向センタ障害中
C14	被仕向センタ個別終了
C15	CAFISセンタ終了
C17	エンコード不正
C33	CAFIS輻輳中
C34	加盟店ショッピングデータフォーマット不正
C35	アドバイス電文受信済
C50	タイムアウト
C51	経路重複
C53	仕向会社コードエラー
C54	電文種別エラー
C55	経路範囲外エラー
C56	電文対応エラー
C57	当該会社サービスなし
C58	ニューメリックチェックエラー
C60	受信不可能状態で電文受信
G02	カードローン融資残高不足
G03	カードローン限度額オーバ
G04	キャッシング融資残高不足
G05	キャッシング限度額オーバ
G12	カード使用不可
G22	支払永久禁止
G30	取引判定保留（有人判定）
G42	暗証番号エラー
G44	セキュリティコード誤り
G45	セキュリティコード入力無
G46	JIS２面情報エラー
G54	１口座利用回数又は金額オーバー
G55	１日利用限度額オーバー
G56	クレジットカード取り込み
G60	事故カード
G61	無効カード
G65	会員番号エラー
G67	商品コードエラー
G68	金額エラー
G69	税送料エラー
G70	ボーナス回数エラー
G71	ボーナス月エラー
G72	ボーナス額エラー
G73	支払開始月エラー
G74	分割回数エラー
G75	分割金額エラー
G76	初回金額エラー
G77	業務区分エラー
G78	支払区分エラー
G79	照会区分エラー
G80	取消区分エラー
G81	取扱区分エラー
G83	有効期限エラー
G85	サービス対象外カード
G95	当該業務オンライン終了
G96	事故カードデータエラー
G97	当該要求拒否
G98	当該自社対象業務エラー
G99	接続要求自社受付拒否
999	CAFIS応答タイムアウト
