商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
1,9,4,1,L,バニラ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-09,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,8,5,1,M,バニラ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-08,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,7,6,1,S,バニラ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-07,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,6,4,2,L,チョコ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-06,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,5,5,2,M,チョコ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-05,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,4,6,2,S,チョコ,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-04,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,3,4,3,L,抹茶,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-03,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,2,5,3,M,抹茶,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-02,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
1,1,6,3,S,抹茶,,,アイスクリーム,1,,,"アイス,バニラ,チョコ,抹茶",,,,,暑い夏にどうぞ。,ice130.jpg,冷たいものはいかがですか?,ice260.jpg,ice500.jpg,,<b>おいしいよ<b>,,,,,,,,,,,,,,,,,,,2,0,1,ice-01,,1,,1000,933,,10,,,,,,,,,,,,,,,1,NEW,16,ローラー
4,61,7,11,12ミリ×18m,10巻,,,日東NO720Aペイントエース 12ミリ×18ｍ,1,,,,,,,,カラー/むらさき,,"【一般建築用】
巻き戻しもスムーズで、直線がきれいに仕上がります。はがす時もほとんど切れません。",,,単位,10巻,,,,,,,,,,,,,,,,,,,2,0,1,A - 1,1,0,,,370,,0,,,,,,,,,,,,,,,1,NEW,9,マスキングテープ・シーリングテープ
