商品ID,商品規格ID,親規格分類ID,規格分類ID,親規格分類名,規格分類名,メーカーID,メーカー名,商品名,表示ステータス(公開・非公開),メーカーURL(コメント1),コメント2,検索ワード(コメント3),コメント4,コメント5,コメント6,備考欄(SHOP専用),一覧-メインコメント,一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,詳細-メイン拡大画像,詳細-サブタイトル(1),詳細-サブコメント(1),詳細-サブ画像(1),詳細-サブ拡大画像(1),詳細-サブタイトル(2),詳細-サブコメント(2),詳細-サブ画像(2),詳細-サブ拡大画像(2),詳細-サブタイトル(3),詳細-サブコメント(3),詳細-サブ画像(3),詳細-サブ拡大画像(3),詳細-サブタイトル(4),詳細-サブコメント(4),詳細-サブ画像(4),詳細-サブ拡大画像(4),詳細-サブタイトル(5),詳細-サブコメント(5),詳細-サブ画像(5),詳細-サブ拡大画像(5),発送日目安ID,削除フラグ,商品種別ID,商品コード,在庫数,在庫無制限フラグ,販売制限数,通常価格,販売価格,送料,ポイント付与率,ダウンロードファイル名,ダウンロード実ファイル,関連商品ID(1),関連商品コメント(1),関連商品ID(2),関連商品コメント(2),関連商品ID(3),関連商品コメント(3),関連商品ID(4),関連商品コメント(4),関連商品ID(5),関連商品コメント(5),関連商品ID(6),関連商品コメント(6),商品ステータス,商品ステータス名,カテゴリID,カテゴリ名
417,1430,0,0,,,,,日東NO720Aペイントエース 12ミリ×18m 10巻,1,,,"刷毛,養生,マスキングテープ,シーリングテープ,日東,720A,ペイントエース,12×18,むらさき,紫,アクリル系,激安,安い",,,,,カラー/むらさき、サイズ/12ミリ×18m、単位/10巻・100巻,08181114_59964d80ba38d.jpg,"【一般建築用】
巻き戻しもスムーズで、直線がきれいに仕上がります。はがす時もほとんど切れず、耐久性もありのり残りもほぼありません。
剥がし忘れのない見切りが見やすい紫色です。様々な被着体によく貼り付き重ね貼りもできます。
アクリル系粘着剤を使用しています。ラッカー系塗料には使用できないことがありますので事前にお試しの上でご使用ください。
カラー:むらさき
サイズ:12ミリ×18m
単位:10巻・100巻",08181114_59964d87a9989.jpg,08181114_59964d8d8bf3c.jpg,単位,10巻,,,,,,,,,,,,,,,,,,,2,0,1,A - 01,1,0,,,370,,0,,,482,,481,,480,,479,,478,,,,1,NEW,9,マスキングテープ・シーリングテープ
418,1431,0,0,,,,,日東NO720Aペイントエース 12ミリ×18m 100巻,1,,,"刷毛,養生,マスキングテープ,シーリングテープ,日東,720A,ペイントエース,12×18,むらさき,紫,アクリル系,激安,安い",,,,,カラー/むらさき、サイズ/12ミリ×18m、単位/10巻・100巻,08181114_59964d80ba38d.jpg,"【一般建築用】
